Dataset,Model,Period,Feature,Rank
Google,CART,9,6,2
Google,CART,9,2,2
Google,CART,9,7,2
Google,CART,9,1,2
Google,CART,9,11,2
Google,CART,9,8,3
Google,CART,9,9,3
Google,CART,9,3,4
Google,CART,9,5,4
Google,CART,10,0,1
Google,CART,10,4,2
Google,CART,10,6,2
Google,CART,10,1,2
Google,CART,10,7,2
Google,CART,10,2,2
Google,CART,10,10,3
Google,CART,10,8,3
Google,CART,10,11,3
Google,CART,10,9,3
Google,CART,10,3,3
Google,CART,10,5,3
Google,CART,11,6,1
Google,CART,11,0,2
Google,CART,11,7,2
Google,CART,11,1,3
Google,CART,11,11,3
Google,CART,11,10,3
Google,CART,11,4,3
Google,CART,11,3,3
Google,CART,11,2,3
Google,CART,11,8,3
Google,CART,11,9,3
Google,CART,11,5,4
Google,CART,12,10,1
Google,CART,12,7,1
Google,CART,12,0,1
Google,CART,12,6,1
Google,CART,12,11,2
Google,CART,12,8,2
Google,CART,12,9,2
Google,CART,12,3,2
Google,CART,12,2,2
Google,CART,12,1,2
Google,CART,12,4,2
Google,CART,12,5,3
Google,CART,13,7,1
Google,CART,13,10,1
Google,CART,13,6,2
Google,CART,13,9,2
Google,CART,13,4,3
Google,CART,13,8,3
Google,CART,13,1,3
Google,CART,13,0,3
Google,CART,13,11,3
Google,CART,13,2,3
Google,CART,13,3,4
Google,CART,13,5,4
Google,CART,14,6,1
Google,CART,14,0,1
Google,CART,14,4,2
Google,CART,14,8,2
Google,CART,14,9,2
Google,CART,14,10,2
Google,CART,14,11,2
Google,CART,14,1,2
Google,CART,14,7,2
Google,CART,14,2,2
Google,CART,14,3,3
Google,CART,14,5,3
Google,CART,15,0,1
Google,CART,15,7,1
Google,CART,15,4,1
Google,CART,15,6,1
Google,CART,15,9,2
Google,CART,15,10,2
Google,CART,15,11,2
Google,CART,15,1,2
Google,CART,15,8,2
Google,CART,15,2,2
Google,CART,15,3,3
Google,CART,15,5,3
Google,CART,16,6,1
Google,CART,16,7,1
Google,CART,16,0,1
Google,CART,16,1,1
Google,CART,16,4,1
Google,CART,16,2,2
Google,CART,16,9,2
Google,CART,16,11,2
Google,CART,16,8,2
Google,CART,16,10,2
Google,CART,16,3,2
Google,CART,16,5,2
Google,CART,17,7,1
Google,CART,17,6,1
Google,CART,17,0,1
Google,CART,17,11,2
Google,CART,17,10,2
Google,CART,17,9,2
Google,CART,17,8,2
Google,CART,17,1,2
Google,CART,17,3,2
Google,CART,17,4,2
Google,CART,17,2,2
Google,CART,17,5,2
Google,CART,18,10,1
Google,CART,18,0,1
Google,CART,18,7,2
Google,CART,18,2,2
Google,CART,18,6,2
Google,CART,18,11,3
Google,CART,18,4,3
Google,CART,18,9,3
Google,CART,18,1,3
Google,CART,18,8,3
Google,CART,18,3,3
Google,CART,18,5,4
Google,CART,19,6,1
Google,CART,19,7,2
Google,CART,19,1,3
Google,CART,19,0,3
Google,CART,19,10,3
Google,CART,19,2,3
Google,CART,19,3,3
Google,CART,19,8,4
Google,CART,19,9,4
Google,CART,19,4,4
Google,CART,19,11,4
Google,CART,19,5,4
Google,CART,20,7,1
Google,CART,20,0,1
Google,CART,20,1,1
Google,CART,20,4,1
Google,CART,20,2,1
Google,CART,20,6,2
Google,CART,20,8,2
Google,CART,20,11,2
Google,CART,20,9,2
Google,CART,20,10,2
Google,CART,20,3,2
Google,CART,20,5,2
Google,CART,21,4,1
Google,CART,21,6,1
Google,CART,21,7,1
Google,CART,21,11,1
Google,CART,21,8,1
Google,CART,21,2,1
Google,CART,21,0,1
Google,CART,21,1,1
Google,CART,21,9,2
Google,CART,21,10,2
Google,CART,21,3,2
Google,CART,21,5,3
Google,CART,22,0,1
Google,CART,22,4,1
Google,CART,22,1,2
Google,CART,22,2,2
Google,CART,22,7,2
Google,CART,22,8,3
Google,CART,22,11,3
Google,CART,22,6,3
Google,CART,22,10,3
Google,CART,22,9,3
Google,CART,22,3,4
Google,CART,22,5,4
Google,CART,23,7,1
Google,CART,23,6,1
Google,CART,23,0,1
Google,CART,23,11,1
Google,CART,23,4,1
Google,CART,23,9,1
Google,CART,23,8,1
Google,CART,23,10,2
Google,CART,23,1,2
Google,CART,23,2,2
Google,CART,23,3,2
Google,CART,23,5,3
Google,CART,24,4,1
Google,CART,24,11,1
Google,CART,24,0,1
Google,CART,24,1,1
Google,CART,24,9,1
Google,CART,24,7,1
Google,CART,24,8,1
Google,CART,24,10,1
Google,CART,24,2,1
Google,CART,24,6,1
Google,CART,24,3,2
Google,CART,24,5,3
Google,CART,25,4,1
Google,CART,25,0,1
Google,CART,25,10,2
Google,CART,25,6,2
Google,CART,25,1,2
Google,CART,25,11,2
Google,CART,25,8,2
Google,CART,25,9,2
Google,CART,25,2,2
Google,CART,25,7,2
Google,CART,25,3,3
Google,CART,25,5,3
Google,CART,26,6,1
Google,CART,26,0,1
Google,CART,26,10,2
Google,CART,26,4,2
Google,CART,26,7,2
Google,CART,26,2,2
Google,CART,26,8,2
Google,CART,26,9,2
Google,CART,26,1,2
Google,CART,26,3,2
Google,CART,26,11,2
Google,CART,26,5,3
Google,CART,27,0,1
Google,CART,27,4,2
Google,CART,27,2,3
Google,CART,27,6,3
Google,CART,27,7,3
Google,CART,27,1,3
Google,CART,27,9,3
Google,CART,27,8,3
Google,CART,27,10,3
Google,CART,27,11,3
Google,CART,27,3,3
Google,CART,27,5,3
Google,CART,28,0,1
Google,CART,28,4,1
Google,CART,28,6,1
Google,CART,28,2,1
Google,CART,28,1,1
Google,CART,28,11,1
Google,CART,28,8,1
Google,CART,28,10,1
Google,CART,28,9,1
Google,CART,28,7,2
Google,CART,28,3,2
Google,CART,28,5,2
Google,GBDT,1,10,1
Google,GBDT,1,0,1
Google,GBDT,1,1,2
Google,GBDT,1,7,2
Google,GBDT,1,6,2
Google,GBDT,1,8,3
Google,GBDT,1,9,3
Google,GBDT,1,2,3
Google,GBDT,1,11,3
Google,GBDT,1,3,4
Google,GBDT,1,4,4
Google,GBDT,1,5,4
Google,GBDT,2,7,1
Google,GBDT,2,3,2
Google,GBDT,2,10,3
Google,GBDT,2,0,3
Google,GBDT,2,6,3
Google,GBDT,2,4,4
Google,GBDT,2,9,4
Google,GBDT,2,1,4
Google,GBDT,2,8,4
Google,GBDT,2,2,4
Google,GBDT,2,11,4
Google,GBDT,2,5,4
Google,GBDT,3,10,1
Google,GBDT,3,6,1
Google,GBDT,3,3,2
Google,GBDT,3,7,3
Google,GBDT,3,9,3
Google,GBDT,3,0,3
Google,GBDT,3,4,3
Google,GBDT,3,1,3
Google,GBDT,3,11,3
Google,GBDT,3,2,3
Google,GBDT,3,8,3
Google,GBDT,3,5,3
Google,GBDT,4,10,1
Google,GBDT,4,4,1
Google,GBDT,4,9,2
Google,GBDT,4,1,2
Google,GBDT,4,8,2
Google,GBDT,4,0,2
Google,GBDT,4,6,3
Google,GBDT,4,7,3
Google,GBDT,4,2,3
Google,GBDT,4,11,3
Google,GBDT,4,3,3
Google,GBDT,4,5,3
Google,GBDT,5,10,1
Google,GBDT,5,0,2
Google,GBDT,5,9,3
Google,GBDT,5,6,4
Google,GBDT,5,1,4
Google,GBDT,5,3,4
Google,GBDT,5,7,5
Google,GBDT,5,8,5
Google,GBDT,5,4,5
Google,GBDT,5,11,5
Google,GBDT,5,2,5
Google,GBDT,5,5,5
Google,GBDT,6,9,1
Google,GBDT,6,7,1
Google,GBDT,6,10,2
Google,GBDT,6,6,2
Google,GBDT,6,1,2
Google,GBDT,6,3,3
Google,GBDT,6,8,3
Google,GBDT,6,0,3
Google,GBDT,6,11,3
Google,GBDT,6,4,3
Google,GBDT,6,2,3
Google,GBDT,6,5,3
Google,GBDT,7,6,1
Google,GBDT,7,9,2
Google,GBDT,7,11,2
Google,GBDT,7,1,3
Google,GBDT,7,10,3
Google,GBDT,7,0,3
Google,GBDT,7,4,3
Google,GBDT,7,3,3
Google,GBDT,7,8,3
Google,GBDT,7,7,3
Google,GBDT,7,2,3
Google,GBDT,7,5,3
Google,GBDT,8,0,1
Google,GBDT,8,10,1
Google,GBDT,8,9,2
Google,GBDT,8,6,3
Google,GBDT,8,11,3
Google,GBDT,8,8,3
Google,GBDT,8,4,3
Google,GBDT,8,1,3
Google,GBDT,8,7,3
Google,GBDT,8,3,3
Google,GBDT,8,2,3
Google,GBDT,8,5,3
Google,GBDT,9,10,1
Google,GBDT,9,6,2
Google,GBDT,9,7,3
Google,GBDT,9,0,3
Google,GBDT,9,9,4
Google,GBDT,9,3,4
Google,GBDT,9,8,5
Google,GBDT,9,4,5
Google,GBDT,9,11,5
Google,GBDT,9,2,5
Google,GBDT,9,1,5
Google,GBDT,9,5,5
Google,GBDT,10,6,1
Google,GBDT,10,3,2
Google,GBDT,10,7,3
Google,GBDT,10,10,4
Google,GBDT,10,4,4
Google,GBDT,10,0,4
Google,GBDT,10,9,5
Google,GBDT,10,8,5
Google,GBDT,10,11,5
Google,GBDT,10,1,5
Google,GBDT,10,2,5
Google,GBDT,10,5,5
Google,GBDT,11,7,1
Google,GBDT,11,3,2
Google,GBDT,11,0,3
Google,GBDT,11,6,3
Google,GBDT,11,10,4
Google,GBDT,11,8,5
Google,GBDT,11,4,5
Google,GBDT,11,1,5
Google,GBDT,11,9,5
Google,GBDT,11,11,5
Google,GBDT,11,2,5
Google,GBDT,11,5,5
Google,GBDT,12,10,1
Google,GBDT,12,7,2
Google,GBDT,12,8,3
Google,GBDT,12,3,3
Google,GBDT,12,0,3
Google,GBDT,12,6,4
Google,GBDT,12,1,4
Google,GBDT,12,9,4
Google,GBDT,12,11,4
Google,GBDT,12,4,4
Google,GBDT,12,2,4
Google,GBDT,12,5,4
Google,GBDT,13,7,1
Google,GBDT,13,10,2
Google,GBDT,13,8,3
Google,GBDT,13,6,3
Google,GBDT,13,1,3
Google,GBDT,13,2,3
Google,GBDT,13,9,3
Google,GBDT,13,0,3
Google,GBDT,13,3,3
Google,GBDT,13,11,3
Google,GBDT,13,4,3
Google,GBDT,13,5,3
Google,GBDT,14,8,1
Google,GBDT,14,0,1
Google,GBDT,14,6,1
Google,GBDT,14,7,2
Google,GBDT,14,11,2
Google,GBDT,14,4,2
Google,GBDT,14,3,3
Google,GBDT,14,1,3
Google,GBDT,14,9,3
Google,GBDT,14,10,3
Google,GBDT,14,2,3
Google,GBDT,14,5,3
Google,GBDT,15,7,1
Google,GBDT,15,10,2
Google,GBDT,15,3,2
Google,GBDT,15,6,2
Google,GBDT,15,0,2
Google,GBDT,15,9,2
Google,GBDT,15,4,3
Google,GBDT,15,8,3
Google,GBDT,15,11,3
Google,GBDT,15,1,3
Google,GBDT,15,2,3
Google,GBDT,15,5,3
Google,GBDT,16,7,1
Google,GBDT,16,3,2
Google,GBDT,16,6,3
Google,GBDT,16,10,3
Google,GBDT,16,0,3
Google,GBDT,16,9,3
Google,GBDT,16,8,4
Google,GBDT,16,4,4
Google,GBDT,16,1,4
Google,GBDT,16,11,4
Google,GBDT,16,2,4
Google,GBDT,16,5,4
Google,GBDT,17,6,1
Google,GBDT,17,3,2
Google,GBDT,17,7,2
Google,GBDT,17,0,3
Google,GBDT,17,10,3
Google,GBDT,17,1,3
Google,GBDT,17,9,3
Google,GBDT,17,8,3
Google,GBDT,17,11,3
Google,GBDT,17,4,3
Google,GBDT,17,2,3
Google,GBDT,17,5,3
Google,GBDT,18,10,1
Google,GBDT,18,3,2
Google,GBDT,18,0,3
Google,GBDT,18,7,4
Google,GBDT,18,8,5
Google,GBDT,18,6,5
Google,GBDT,18,9,5
Google,GBDT,18,1,6
Google,GBDT,18,11,6
Google,GBDT,18,4,6
Google,GBDT,18,2,6
Google,GBDT,18,5,6
Google,GBDT,19,7,1
Google,GBDT,19,6,1
Google,GBDT,19,3,2
Google,GBDT,19,10,2
Google,GBDT,19,9,3
Google,GBDT,19,4,3
Google,GBDT,19,1,3
Google,GBDT,19,0,3
Google,GBDT,19,8,3
Google,GBDT,19,11,3
Google,GBDT,19,2,3
Google,GBDT,19,5,3
Google,GBDT,20,7,1
Google,GBDT,20,3,2
Google,GBDT,20,6,2
Google,GBDT,20,8,2
Google,GBDT,20,0,2
Google,GBDT,20,11,2
Google,GBDT,20,1,2
Google,GBDT,20,9,2
Google,GBDT,20,4,2
Google,GBDT,20,10,2
Google,GBDT,20,2,2
Google,GBDT,20,5,2
Google,GBDT,21,6,1
Google,GBDT,21,11,2
Google,GBDT,21,3,2
Google,GBDT,21,4,2
Google,GBDT,21,8,2
Google,GBDT,21,0,3
Google,GBDT,21,7,3
Google,GBDT,21,9,3
Google,GBDT,21,1,3
Google,GBDT,21,10,3
Google,GBDT,21,2,3
Google,GBDT,21,5,3
Google,GBDT,22,7,1
Google,GBDT,22,6,1
Google,GBDT,22,3,1
Google,GBDT,22,8,2
Google,GBDT,22,11,2
Google,GBDT,22,10,2
Google,GBDT,22,0,2
Google,GBDT,22,4,2
Google,GBDT,22,9,2
Google,GBDT,22,1,3
Google,GBDT,22,2,3
Google,GBDT,22,5,3
Google,GBDT,23,7,1
Google,GBDT,23,6,1
Google,GBDT,23,3,1
Google,GBDT,23,10,2
Google,GBDT,23,4,2
Google,GBDT,23,9,2
Google,GBDT,23,0,2
Google,GBDT,23,1,2
Google,GBDT,23,8,3
Google,GBDT,23,11,3
Google,GBDT,23,2,3
Google,GBDT,23,5,3
Google,GBDT,24,7,1
Google,GBDT,24,3,2
Google,GBDT,24,0,3
Google,GBDT,24,10,3
Google,GBDT,24,1,3
Google,GBDT,24,9,3
Google,GBDT,24,8,3
Google,GBDT,24,4,4
Google,GBDT,24,11,4
Google,GBDT,24,6,4
Google,GBDT,24,2,4
Google,GBDT,24,5,4
Google,GBDT,25,0,1
Google,GBDT,25,10,2
Google,GBDT,25,3,2
Google,GBDT,25,7,2
Google,GBDT,25,8,3
Google,GBDT,25,6,3
Google,GBDT,25,9,3
Google,GBDT,25,1,3
Google,GBDT,25,11,3
Google,GBDT,25,4,3
Google,GBDT,25,2,4
Google,GBDT,25,5,4
Google,GBDT,26,10,1
Google,GBDT,26,6,2
Google,GBDT,26,3,3
Google,GBDT,26,0,4
Google,GBDT,26,8,5
Google,GBDT,26,9,5
Google,GBDT,26,7,5
Google,GBDT,26,4,5
Google,GBDT,26,1,6
Google,GBDT,26,11,6
Google,GBDT,26,2,6
Google,GBDT,26,5,6
Google,GBDT,27,3,1
Google,GBDT,27,6,1
Google,GBDT,27,7,1
Google,GBDT,27,8,2
Google,GBDT,27,10,2
Google,GBDT,27,0,2
Google,GBDT,27,1,2
Google,GBDT,27,4,2
Google,GBDT,27,9,2
Google,GBDT,27,11,2
Google,GBDT,27,2,2
Google,GBDT,27,5,2
Google,GBDT,28,6,1
Google,GBDT,28,10,2
Google,GBDT,28,0,2
Google,GBDT,28,8,2
Google,GBDT,28,3,2
Google,GBDT,28,4,3
Google,GBDT,28,1,3
Google,GBDT,28,7,3
Google,GBDT,28,9,3
Google,GBDT,28,11,3
Google,GBDT,28,2,3
Google,GBDT,28,5,3
Google,NN,1,10,1
Google,NN,1,2,2
Google,NN,1,0,3
Google,NN,1,4,3
Google,NN,1,6,3
Google,NN,1,11,3
Google,NN,1,8,4
Google,NN,1,1,4
Google,NN,1,9,4
Google,NN,1,5,5
Google,NN,1,3,5
Google,NN,1,7,5
Google,NN,2,2,1
Google,NN,2,4,1
Google,NN,2,0,1
Google,NN,2,10,2
Google,NN,2,1,3
Google,NN,2,11,3
Google,NN,2,8,3
Google,NN,2,9,3
Google,NN,2,3,3
Google,NN,2,5,4
Google,NN,2,7,4
Google,NN,2,6,5
Google,NN,3,10,1
Google,NN,3,4,2
Google,NN,3,0,3
Google,NN,3,2,4
Google,NN,3,11,4
Google,NN,3,8,4
Google,NN,3,1,4
Google,NN,3,9,4
Google,NN,3,3,5
Google,NN,3,5,5
Google,NN,3,6,5
Google,NN,3,7,5
Google,NN,4,4,1
Google,NN,4,10,1
Google,NN,4,2,1
Google,NN,4,0,2
Google,NN,4,11,2
Google,NN,4,1,2
Google,NN,4,9,2
Google,NN,4,8,2
Google,NN,4,3,3
Google,NN,4,5,3
Google,NN,4,6,3
Google,NN,4,7,3
Google,NN,5,10,1
Google,NN,5,4,1
Google,NN,5,9,2
Google,NN,5,2,2
Google,NN,5,0,2
Google,NN,5,1,2
Google,NN,5,8,3
Google,NN,5,11,3
Google,NN,5,3,4
Google,NN,5,7,4
Google,NN,5,5,4
Google,NN,5,6,4
Google,NN,6,1,1
Google,NN,6,0,1
Google,NN,6,9,1
Google,NN,6,2,1
Google,NN,6,10,1
Google,NN,6,4,1
Google,NN,6,11,2
Google,NN,6,8,2
Google,NN,6,6,3
Google,NN,6,3,3
Google,NN,6,5,3
Google,NN,6,7,3
Google,NN,7,0,1
Google,NN,7,4,1
Google,NN,7,2,1
Google,NN,7,10,1
Google,NN,7,11,1
Google,NN,7,1,1
Google,NN,7,9,1
Google,NN,7,8,2
Google,NN,7,6,3
Google,NN,7,3,3
Google,NN,7,7,3
Google,NN,7,5,3
Google,NN,8,10,1
Google,NN,8,4,2
Google,NN,8,2,2
Google,NN,8,0,2
Google,NN,8,1,2
Google,NN,8,11,3
Google,NN,8,8,3
Google,NN,8,9,4
Google,NN,8,3,4
Google,NN,8,5,4
Google,NN,8,7,4
Google,NN,8,6,4
Google,NN,9,10,1
Google,NN,9,4,2
Google,NN,9,2,2
Google,NN,9,0,2
Google,NN,9,11,3
Google,NN,9,8,3
Google,NN,9,1,4
Google,NN,9,9,4
Google,NN,9,7,4
Google,NN,9,6,4
Google,NN,9,3,4
Google,NN,9,5,5
Google,NN,10,4,1
Google,NN,10,0,2
Google,NN,10,2,2
Google,NN,10,1,3
Google,NN,10,10,3
Google,NN,10,8,4
Google,NN,10,11,4
Google,NN,10,9,4
Google,NN,10,3,5
Google,NN,10,5,5
Google,NN,10,6,5
Google,NN,10,7,5
Google,NN,11,2,1
Google,NN,11,0,1
Google,NN,11,4,1
Google,NN,11,10,2
Google,NN,11,1,3
Google,NN,11,11,3
Google,NN,11,8,4
Google,NN,11,9,4
Google,NN,11,3,5
Google,NN,11,5,5
Google,NN,11,6,5
Google,NN,11,7,5
Google,NN,12,10,1
Google,NN,12,0,2
Google,NN,12,2,3
Google,NN,12,4,3
Google,NN,12,11,4
Google,NN,12,8,4
Google,NN,12,1,5
Google,NN,12,9,5
Google,NN,12,6,6
Google,NN,12,3,6
Google,NN,12,7,6
Google,NN,12,5,6
Google,NN,13,2,1
Google,NN,13,10,2
Google,NN,13,4,3
Google,NN,13,0,4
Google,NN,13,11,4
Google,NN,13,8,5
Google,NN,13,1,5
Google,NN,13,9,5
Google,NN,13,6,5
Google,NN,13,3,6
Google,NN,13,5,6
Google,NN,13,7,6
Google,NN,14,10,1
Google,NN,14,2,1
Google,NN,14,4,1
Google,NN,14,0,1
Google,NN,14,11,2
Google,NN,14,8,2
Google,NN,14,1,2
Google,NN,14,9,3
Google,NN,14,6,3
Google,NN,14,3,4
Google,NN,14,5,4
Google,NN,14,7,4
Google,NN,15,4,1
Google,NN,15,0,2
Google,NN,15,2,2
Google,NN,15,10,2
Google,NN,15,11,2
Google,NN,15,9,3
Google,NN,15,1,3
Google,NN,15,8,3
Google,NN,15,6,4
Google,NN,15,3,4
Google,NN,15,5,4
Google,NN,15,7,4
Google,NN,16,4,1
Google,NN,16,0,2
Google,NN,16,2,2
Google,NN,16,10,3
Google,NN,16,9,3
Google,NN,16,6,4
Google,NN,16,11,4
Google,NN,16,1,4
Google,NN,16,8,5
Google,NN,16,3,5
Google,NN,16,5,6
Google,NN,16,7,6
Google,NN,17,4,1
Google,NN,17,10,1
Google,NN,17,2,1
Google,NN,17,0,1
Google,NN,17,8,2
Google,NN,17,9,3
Google,NN,17,1,3
Google,NN,17,11,3
Google,NN,17,3,3
Google,NN,17,6,3
Google,NN,17,5,4
Google,NN,17,7,4
Google,NN,18,10,1
Google,NN,18,2,1
Google,NN,18,4,2
Google,NN,18,0,2
Google,NN,18,9,3
Google,NN,18,11,4
Google,NN,18,8,4
Google,NN,18,1,5
Google,NN,18,3,5
Google,NN,18,6,6
Google,NN,18,7,6
Google,NN,18,5,6
Google,NN,19,10,1
Google,NN,19,4,2
Google,NN,19,2,2
Google,NN,19,0,3
Google,NN,19,1,3
Google,NN,19,8,4
Google,NN,19,11,4
Google,NN,19,9,4
Google,NN,19,6,5
Google,NN,19,5,5
Google,NN,19,3,5
Google,NN,19,7,5
Google,NN,20,0,1
Google,NN,20,4,1
Google,NN,20,2,1
Google,NN,20,1,2
Google,NN,20,11,2
Google,NN,20,9,2
Google,NN,20,8,2
Google,NN,20,10,2
Google,NN,20,6,2
Google,NN,20,3,3
Google,NN,20,5,3
Google,NN,20,7,3
Google,NN,21,4,1
Google,NN,21,2,1
Google,NN,21,11,2
Google,NN,21,9,2
Google,NN,21,0,2
Google,NN,21,8,3
Google,NN,21,10,3
Google,NN,21,6,3
Google,NN,21,1,3
Google,NN,21,3,4
Google,NN,21,5,4
Google,NN,21,7,4
Google,NN,22,4,1
Google,NN,22,0,1
Google,NN,22,2,1
Google,NN,22,10,2
Google,NN,22,1,2
Google,NN,22,11,2
Google,NN,22,9,3
Google,NN,22,8,3
Google,NN,22,3,3
Google,NN,22,6,4
Google,NN,22,7,4
Google,NN,22,5,4
Google,NN,23,4,1
Google,NN,23,2,1
Google,NN,23,11,2
Google,NN,23,10,3
Google,NN,23,9,3
Google,NN,23,0,3
Google,NN,23,8,3
Google,NN,23,1,3
Google,NN,23,6,4
Google,NN,23,3,4
Google,NN,23,7,5
Google,NN,23,5,5
Google,NN,24,2,1
Google,NN,24,4,1
Google,NN,24,0,2
Google,NN,24,10,2
Google,NN,24,1,2
Google,NN,24,9,3
Google,NN,24,11,3
Google,NN,24,8,3
Google,NN,24,3,4
Google,NN,24,7,4
Google,NN,24,6,4
Google,NN,24,5,4
Google,NN,25,4,1
Google,NN,25,10,2
Google,NN,25,2,3
Google,NN,25,11,3
Google,NN,25,0,3
Google,NN,25,9,3
Google,NN,25,8,4
Google,NN,25,1,4
Google,NN,25,5,5
Google,NN,25,3,5
Google,NN,25,6,5
Google,NN,25,7,5
Google,NN,26,4,1
Google,NN,26,10,1
Google,NN,26,2,1
Google,NN,26,0,1
Google,NN,26,9,2
Google,NN,26,11,2
Google,NN,26,8,2
Google,NN,26,1,3
Google,NN,26,6,3
Google,NN,26,3,3
Google,NN,26,5,3
Google,NN,26,7,3
Google,NN,27,0,1
Google,NN,27,1,2
Google,NN,27,4,2
Google,NN,27,2,3
Google,NN,27,10,4
Google,NN,27,8,4
Google,NN,27,9,4
Google,NN,27,11,4
Google,NN,27,3,4
Google,NN,27,6,5
Google,NN,27,7,5
Google,NN,27,5,5
Google,NN,28,2,1
Google,NN,28,0,1
Google,NN,28,4,1
Google,NN,28,1,1
Google,NN,28,10,2
Google,NN,28,11,2
Google,NN,28,8,2
Google,NN,28,9,2
Google,NN,28,6,2
Google,NN,28,3,3
Google,NN,28,7,4
Google,NN,28,5,4
Google,RF,1,10,1
Google,RF,1,6,2
Google,RF,1,7,3
Google,RF,1,1,3
Google,RF,1,2,3
Google,RF,1,8,3
Google,RF,1,0,3
Google,RF,1,11,3
Google,RF,1,9,4
Google,RF,1,4,4
Google,RF,1,3,4
Google,RF,1,5,4
Google,RF,2,7,1
Google,RF,2,3,2
Google,RF,2,6,3
Google,RF,2,10,3
Google,RF,2,0,4
Google,RF,2,4,4
Google,RF,2,8,4
Google,RF,2,9,4
Google,RF,2,11,4
Google,RF,2,1,4
Google,RF,2,2,4
Google,RF,2,5,4
Google,RF,3,10,1
Google,RF,3,6,2
Google,RF,3,3,3
Google,RF,3,4,3
Google,RF,3,9,4
Google,RF,3,7,4
Google,RF,3,0,4
Google,RF,3,8,4
Google,RF,3,1,4
Google,RF,3,11,4
Google,RF,3,2,4
Google,RF,3,5,4
Google,RF,4,10,1
Google,RF,4,4,2
Google,RF,4,8,3
Google,RF,4,9,3
Google,RF,4,1,3
Google,RF,4,0,4
Google,RF,4,6,4
Google,RF,4,11,4
Google,RF,4,7,4
Google,RF,4,2,4
Google,RF,4,3,4
Google,RF,4,5,4
Google,RF,5,10,1
Google,RF,5,6,2
Google,RF,5,0,3
Google,RF,5,9,3
Google,RF,5,7,4
Google,RF,5,4,4
Google,RF,5,1,4
Google,RF,5,8,4
Google,RF,5,3,4
Google,RF,5,11,4
Google,RF,5,2,4
Google,RF,5,5,4
Google,RF,6,6,1
Google,RF,6,1,2
Google,RF,6,10,2
Google,RF,6,7,3
Google,RF,6,9,3
Google,RF,6,8,3
Google,RF,6,0,3
Google,RF,6,4,3
Google,RF,6,11,3
Google,RF,6,3,3
Google,RF,6,2,3
Google,RF,6,5,3
Google,RF,7,6,1
Google,RF,7,1,2
Google,RF,7,9,2
Google,RF,7,10,2
Google,RF,7,4,2
Google,RF,7,11,2
Google,RF,7,7,3
Google,RF,7,8,3
Google,RF,7,0,3
Google,RF,7,3,3
Google,RF,7,2,3
Google,RF,7,5,3
Google,RF,8,10,1
Google,RF,8,0,2
Google,RF,8,6,3
Google,RF,8,9,3
Google,RF,8,8,4
Google,RF,8,1,4
Google,RF,8,11,4
Google,RF,8,7,4
Google,RF,8,4,4
Google,RF,8,3,4
Google,RF,8,2,4
Google,RF,8,5,4
Google,RF,9,10,1
Google,RF,9,6,2
Google,RF,9,7,2
Google,RF,9,0,2
Google,RF,9,9,3
Google,RF,9,8,3
Google,RF,9,11,3
Google,RF,9,3,3
Google,RF,9,4,3
Google,RF,9,1,3
Google,RF,9,2,3
Google,RF,9,5,3
Google,RF,10,6,1
Google,RF,10,7,2
Google,RF,10,3,3
Google,RF,10,10,4
Google,RF,10,4,4
Google,RF,10,0,4
Google,RF,10,11,5
Google,RF,10,8,5
Google,RF,10,9,5
Google,RF,10,1,5
Google,RF,10,2,5
Google,RF,10,5,5
Google,RF,11,7,1
Google,RF,11,6,2
Google,RF,11,3,3
Google,RF,11,0,3
Google,RF,11,10,3
Google,RF,11,1,4
Google,RF,11,8,4
Google,RF,11,11,4
Google,RF,11,4,4
Google,RF,11,9,4
Google,RF,11,2,4
Google,RF,11,5,4
Google,RF,12,10,1
Google,RF,12,7,2
Google,RF,12,6,3
Google,RF,12,8,3
Google,RF,12,3,4
Google,RF,12,0,4
Google,RF,12,11,4
Google,RF,12,9,4
Google,RF,12,1,4
Google,RF,12,4,4
Google,RF,12,2,4
Google,RF,12,5,4
Google,RF,13,10,1
Google,RF,13,7,2
Google,RF,13,8,3
Google,RF,13,6,3
Google,RF,13,9,3
Google,RF,13,11,3
Google,RF,13,2,3
Google,RF,13,1,3
Google,RF,13,4,3
Google,RF,13,0,3
Google,RF,13,3,3
Google,RF,13,5,3
Google,RF,14,7,1
Google,RF,14,10,1
Google,RF,14,6,1
Google,RF,14,0,2
Google,RF,14,8,2
Google,RF,14,11,2
Google,RF,14,4,2
Google,RF,14,9,2
Google,RF,14,1,2
Google,RF,14,3,2
Google,RF,14,2,2
Google,RF,14,5,2
Google,RF,15,7,1
Google,RF,15,10,2
Google,RF,15,6,2
Google,RF,15,9,3
Google,RF,15,0,3
Google,RF,15,8,3
Google,RF,15,11,3
Google,RF,15,4,3
Google,RF,15,1,3
Google,RF,15,3,3
Google,RF,15,2,3
Google,RF,15,5,3
Google,RF,16,7,1
Google,RF,16,6,2
Google,RF,16,10,3
Google,RF,16,3,3
Google,RF,16,0,3
Google,RF,16,8,3
Google,RF,16,9,3
Google,RF,16,1,3
Google,RF,16,4,3
Google,RF,16,11,3
Google,RF,16,2,3
Google,RF,16,5,3
Google,RF,17,7,1
Google,RF,17,6,1
Google,RF,17,10,2
Google,RF,17,0,2
Google,RF,17,11,2
Google,RF,17,3,2
Google,RF,17,8,2
Google,RF,17,1,2
